Date    	Days	documents * accesses	documents * bytes	documents * visits	documents / accesses	documents / bytes	documents / visits
7/1/2001	31	               28.00	           111649.00	                2.00	                0.00	                0.00	                0.00
8/1/2001	31	             3214.00	         49732348.00	              426.00	              247.00	            79613.00	              140.00
9/1/2001	30	             1086.00	         21716212.00	              243.00	               85.00	            13760.00	               61.00
10/1/2001	31	              501.00	          9869839.00	              127.00	               43.00	             9288.00	               37.00
11/1/2001	30	              775.00	         15593530.00	              144.00	               51.00	            10664.00	               38.00
12/1/2001	31	              580.00	         10203529.00	              130.00	               44.00	            12040.00	               37.00
1/1/2002	31	              908.00	         21321314.00	              167.00	               63.00	            15136.00	               57.00
2/1/2002	28	             1029.00	         15271486.00	              187.00	               61.00	            15480.00	               58.00
3/1/2002	31	              863.00	         20743296.00	               59.00	               53.00	            13416.00	               47.00
4/1/2002	30	              862.00	         15436484.00	              112.00	               70.00	            14104.00	               48.00
5/1/2002	31	              599.00	         13036713.00	              102.00	               47.00	            12728.00	               39.00
6/1/2002	30	             1184.00	         26746876.00	               97.00	               56.00	            16168.00	               55.00
7/1/2002	31	              970.00	         22659532.00	              180.00	               61.00	            15480.00	               46.00
8/1/2002	31	             1723.00	         45106796.00	              339.00	               91.00	            22016.00	               10.00
9/1/2002	30	              823.00	         12504159.00	              361.00	               59.00	            12384.00	               41.00
10/1/2002	31	              930.00	         18999982.00	              140.00	               68.00	            14448.00	               16.00
11/1/2002	30	              897.00	         17348618.00	              356.00	               55.00	            10664.00	               44.00
12/1/2002	31	              868.00	         23263720.00	              141.00	               59.00	            13072.00	               46.00
1/1/2003	31	             1110.00	         27445893.00	              212.00	               70.00	            15480.00	               72.00
2/1/2003	28	              742.00	         15914184.00	              194.00	               62.00	            15136.00	               45.00
3/1/2003	31	              720.00	         16899080.00	              135.00	               75.00	            18232.00	               22.00
4/1/2003	30	             1234.00	         20330990.00	              480.00	               71.00	            14792.00	               22.00
5/1/2003	31	              993.00	         16735776.00	              226.00	               70.00	            15824.00	               55.00
6/1/2003	30	             1356.00	         35075590.00	              420.00	               88.00	            21672.00	               32.00
7/1/2003	31	             1551.00	         33568287.00	              330.00	               94.00	            20640.00	               53.00
8/1/2003	31	              744.00	          9188299.00	              330.00	               43.00	             9632.00	               43.00
9/1/2003	30	              978.00	         14460734.00	              343.00	               66.00	            15136.00	               24.00
10/1/2003	31	              922.00	         11681882.00	              362.00	               64.00	            15824.00	               59.00
11/1/2003	30	              969.00	         19631336.00	              299.00	               77.00	            18232.00	               50.00
12/1/2003	31	              919.00	         19793603.00	              305.00	               62.00	            15824.00	               46.00
1/1/2004	31	             1076.00	         22848691.00	              280.00	               76.00	            19952.00	               47.00
2/1/2004	29	              637.00	          8861453.00	              164.00	               47.00	            12040.00	               35.00
3/1/2004	31	             1585.00	         31892425.00	              367.00	               81.00	            20984.00	               44.00
4/1/2004	30	             1178.00	         19515666.00	              231.00	               72.00	            20984.00	               38.00
5/1/2004	31	              530.00	          4403817.00	              160.00	               52.00	            15136.00	               17.00
6/1/2004	30	              580.00	          7285004.00	              208.00	               58.00	            17200.00	               31.00
7/1/2004	31	             1206.00	         23284924.00	              238.00	               67.00	            19264.00	               45.00
8/1/2004	31	             1826.00	         35241679.00	              412.00	               83.00	            24080.00	               59.00
9/1/2004	30	             1963.00	         22815011.00	              342.00	               75.00	            19608.00	               55.00
10/1/2004	31	             1886.00	         23545257.00	              457.00	              117.00	            36464.00	               44.00
11/1/2004	30	             2185.00	         20538354.00	              541.00	               97.00	            28208.00	               79.00
12/1/2004	31	                0.00	                0.00	                0.00	                0.00	                0.00	                0.00
6/1/2006	30	             2764.00	        122169833.00	              363.00	              124.00	           230414.00	               61.00
7/1/2006	31	             1872.00	         45199557.00	              457.00	              136.00	           289842.00	               76.00
8/1/2006	31	             2247.00	         56472845.00	              514.00	              122.00	           270144.00	               67.00
9/1/2006	30	             2607.00	         66209893.00	              622.00	              146.00	           267330.00	               53.00
10/1/2006	31	             2660.00	         68627143.00	              664.00	              152.00	           264516.00	               43.00
11/1/2006	30	             2212.00	         59000317.00	              598.00	              185.00	           385518.00	               82.00
